symbol,adjClose,prev_price,date,persian_date,last_price
صبا,12000.0,,2020-04-08,1399-01-20,35777
صبا,12161.0,12000.0,2020-04-11,1399-01-23,35777
صبا,12769.0,12161.0,2020-04-12,1399-01-24,35777
صبا,13407.0,12769.0,2020-04-13,1399-01-25,35777
صبا,14077.0,13407.0,2020-04-14,1399-01-26,35777
صبا,14780.0,14077.0,2020-04-15,1399-01-27,35777
صبا,15260.0,14780.0,2020-04-18,1399-01-30,35777
صبا,16023.0,15260.0,2020-04-19,1399-01-31,35777
صبا,16547.0,16023.0,2020-04-20,1399-02-01,35777
صبا,17256.0,16547.0,2020-04-21,1399-02-02,35777
صبا,18118.0,17256.0,2020-04-22,1399-02-03,35777
صبا,19920.0,18118.0,2020-04-26,1399-02-07,35777
صبا,20916.0,19920.0,2020-04-27,1399-02-08,35777
صبا,21953.0,20916.0,2020-04-28,1399-02-09,35777
صبا,23050.0,21953.0,2020-04-29,1399-02-10,35777
صبا,24202.0,23050.0,2020-05-02,1399-02-13,35777
صبا,25412.0,24202.0,2020-05-03,1399-02-14,35777
صبا,26682.0,25412.0,2020-05-04,1399-02-15,35777
صبا,26231.0,26682.0,2020-05-05,1399-02-16,35777
صبا,26391.0,26231.0,2020-05-06,1399-02-17,35777
صبا,28379.0,26391.0,2020-05-09,1399-02-20,35777
صبا,27985.0,28379.0,2020-05-10,1399-02-21,35777
صبا,26586.0,27985.0,2020-05-11,1399-02-22,35777
صبا,25257.0,26586.0,2020-05-12,1399-02-23,35777
صبا,23995.0,25257.0,2020-05-13,1399-02-24,35777
صبا,23413.0,23995.0,2020-05-16,1399-02-27,35777
صبا,22243.0,23413.0,2020-05-17,1399-02-28,35777
صبا,23068.0,22243.0,2020-05-18,1399-02-29,35777
صبا,22153.0,23068.0,2020-05-19,1399-02-30,35777
صبا,21146.0,22153.0,2020-05-20,1399-02-31,35777
صبا,21636.0,21146.0,2020-05-23,1399-03-03,35777
صبا,21400.0,21636.0,2020-05-26,1399-03-06,35777
صبا,21499.0,21400.0,2020-05-27,1399-03-07,35777
صبا,22515.0,21499.0,2020-05-30,1399-03-10,35777
صبا,22465.0,22515.0,2020-05-31,1399-03-11,35777
صبا,22096.0,22465.0,2020-06-01,1399-03-12,35777
صبا,22972.0,22096.0,2020-06-02,1399-03-13,35777
صبا,23967.0,22972.0,2020-06-06,1399-03-17,35777
صبا,25110.0,23967.0,2020-06-07,1399-03-18,35777
صبا,24226.0,25110.0,2020-06-08,1399-03-19,35777
صبا,23320.0,24226.0,2020-06-09,1399-03-20,35777
صبا,23455.0,23320.0,2020-06-10,1399-03-21,35777
صبا,24492.0,23455.0,2020-06-13,1399-03-24,35777
صبا,24038.0,24492.0,2020-06-14,1399-03-25,35777
صبا,24120.0,24038.0,2020-06-15,1399-03-26,35777
صبا,24321.0,24120.0,2020-06-16,1399-03-27,35777
صبا,25322.0,24321.0,2020-06-20,1399-03-31,35777
صبا,26350.0,25322.0,2020-06-21,1399-04-01,35777
صبا,27390.0,26350.0,2020-06-22,1399-04-02,35777
صبا,28454.0,27390.0,2020-06-23,1399-04-03,35777
صبا,28142.0,28454.0,2020-06-24,1399-04-04,35777
صبا,29459.0,28142.0,2020-06-27,1399-04-07,35777
صبا,29258.0,29459.0,2020-06-28,1399-04-08,35777
صبا,28043.0,29258.0,2020-06-29,1399-04-09,35777
صبا,29388.0,28043.0,2020-06-30,1399-04-10,35777
صبا,30818.0,29388.0,2020-07-01,1399-04-11,35777
صبا,30470.0,30818.0,2020-07-04,1399-04-14,35777
صبا,31265.0,30470.0,2020-07-05,1399-04-15,35777
صبا,32828.0,31265.0,2020-07-06,1399-04-16,35777
صبا,34469.0,32828.0,2020-07-07,1399-04-17,35777
صبا,35915.0,34469.0,2020-07-08,1399-04-18,35777
صبا,37057.0,35915.0,2020-07-11,1399-04-21,35777
صبا,38846.0,37057.0,2020-07-12,1399-04-22,35777
صبا,38641.0,38846.0,2020-07-13,1399-04-23,35777
صبا,37660.0,38641.0,2020-07-14,1399-04-24,35777
صبا,35777.0,37660.0,2020-07-15,1399-04-25,35777
شگویا,6389.0,,2020-04-04,1399-01-16,21387
شگویا,6572.0,6389.0,2020-04-05,1399-01-17,21387
شگویا,7219.0,6572.0,2020-04-06,1399-01-18,21387
شگویا,7579.0,7219.0,2020-04-07,1399-01-19,21387
شگویا,7957.0,7579.0,2020-04-08,1399-01-20,21387
شگویا,8354.0,7957.0,2020-04-11,1399-01-23,21387
شگویا,8674.0,8354.0,2020-04-12,1399-01-24,21387
شگویا,8868.0,8674.0,2020-04-13,1399-01-25,21387
شگویا,8425.0,8868.0,2020-04-14,1399-01-26,21387
شگویا,8396.0,8425.0,2020-04-15,1399-01-27,21387
شگویا,8815.0,8396.0,2020-04-18,1399-01-30,21387
شگویا,8973.0,8815.0,2020-04-19,1399-01-31,21387
شگویا,9414.0,8973.0,2020-04-20,1399-02-01,21387
شگویا,9884.0,9414.0,2020-04-21,1399-02-02,21387
شگویا,10378.0,9884.0,2020-04-22,1399-02-03,21387
شگویا,10896.0,10378.0,2020-04-25,1399-02-06,21387
شگویا,11986.0,10896.0,2020-04-26,1399-02-07,21387
شگویا,12575.0,11986.0,2020-04-27,1399-02-08,21387
شگویا,12300.0,12575.0,2020-04-28,1399-02-09,21387
شگویا,12914.0,12300.0,2020-04-29,1399-02-10,21387
شگویا,13557.0,12914.0,2020-05-02,1399-02-13,21387
شگویا,14234.0,13557.0,2020-05-03,1399-02-14,21387
شگویا,14854.0,14234.0,2020-05-04,1399-02-15,21387
شگویا,14113.0,14854.0,2020-05-05,1399-02-16,21387
شگویا,13512.0,14113.0,2020-05-06,1399-02-17,21387
شگویا,14106.0,13512.0,2020-05-09,1399-02-20,21387
شگویا,13744.0,14106.0,2020-05-10,1399-02-21,21387
شگویا,13057.0,13744.0,2020-05-11,1399-02-22,21387
شگویا,12511.0,13057.0,2020-05-12,1399-02-23,21387
شگویا,11886.0,12511.0,2020-05-13,1399-02-24,21387
